city,country,temperature_celsius,feels_like_celsius,humidity_percent,weather_main,weather_description,timestamp_utc,wind_speed_mps,latitude,longitude,load_timestamp_utc
Mumbai,IN,26.58,26.58,84,Clouds,overcast clouds,2025-08-31 19:30:56+00:00,6.66,19.0144,72.8479,2025-08-31 19:43:15
Delhi,IN,24.85,25.66,87,Clouds,overcast clouds,2025-08-31 19:36:42+00:00,2.53,28.6667,77.2167,2025-08-31 19:43:15
Bengaluru,IN,21.29,21.82,90,Clouds,overcast clouds,2025-08-31 19:38:16+00:00,4.78,12.9762,77.6033,2025-08-31 19:43:15
Chennai,IN,26.7,27.96,64,Clouds,overcast clouds,2025-08-31 19:38:25+00:00,5.61,13.0878,80.2785,2025-08-31 19:43:15
Kolkata,IN,27.32,30.69,82,Clouds,overcast clouds,2025-08-31 19:30:49+00:00,1.96,22.5697,88.3697,2025-08-31 19:43:15
Hyderabad,IN,23.63,24.29,86,Clouds,overcast clouds,2025-08-31 19:34:27+00:00,5.6,17.3753,78.4744,2025-08-31 19:43:15
Jaipur,IN,22.76,23.49,92,Clouds,overcast clouds,2025-08-31 19:41:40+00:00,1.55,26.9167,75.8167,2025-08-31 19:43:15
Pune,IN,21.96,22.59,91,Clouds,overcast clouds,2025-08-31 19:36:21+00:00,2.86,18.5196,73.8553,2025-08-31 19:43:15
Ghaziabad,IN,24.67,25.65,94,Clouds,overcast clouds,2025-08-31 19:39:57+00:00,3.14,28.6667,77.4333,2025-08-31 19:43:15
Mumbai,IN,26.83,29.8,85,Clouds,few clouds,2025-09-01 15:18:27+00:00,7.52,19.0144,72.8479,2025-09-01 15:23:32
Delhi,IN,24.28,25.32,98,Clouds,overcast clouds,2025-09-01 15:23:01+00:00,5.53,28.6667,77.2167,2025-09-01 15:23:32
Bengaluru,IN,24.26,24.8,79,Clouds,overcast clouds,2025-09-01 15:23:32+00:00,5.48,12.9762,77.6033,2025-09-01 15:23:32
Chennai,IN,31.1,33.85,55,Clouds,overcast clouds,2025-09-01 15:15:02+00:00,4.72,13.0878,80.2785,2025-09-01 15:23:32
Kolkata,IN,30.56,36.17,69,Clouds,overcast clouds,2025-09-01 15:10:26+00:00,2.44,22.5697,88.3697,2025-09-01 15:23:32
Hyderabad,IN,25.84,26.73,86,Clouds,overcast clouds,2025-09-01 15:13:25+00:00,5.06,17.3753,78.4744,2025-09-01 15:23:32
Jaipur,IN,25.72,26.46,81,Clouds,overcast clouds,2025-09-01 15:19:27+00:00,3.85,26.9167,75.8167,2025-09-01 15:23:32
Pune,IN,22.97,23.86,97,Clouds,overcast clouds,2025-09-01 15:22:29+00:00,3.9,18.5196,73.8553,2025-09-01 15:23:32
Ghaziabad,IN,23.8,24.77,97,Clouds,overcast clouds,2025-09-01 15:23:33+00:00,5.69,28.6667,77.4333,2025-09-01 15:23:32
Mumbai,IN,26.99,30.6,89,Mist,mist,2025-09-01 18:05:03+00:00,6.17,19.0144,72.8479,2025-09-01 18:07:34
Delhi,IN,25.05,26.07,94,Mist,mist,2025-09-01 18:03:26+00:00,3.6,28.6667,77.2167,2025-09-01 18:07:34
Bengaluru,IN,20.66,21.21,93,Clouds,broken clouds,2025-09-01 18:05:14+00:00,3.6,12.9762,77.6033,2025-09-01 18:07:34
Chennai,IN,30.07,37.07,82,Mist,mist,2025-09-01 18:04:55+00:00,4.47,13.0878,80.2785,2025-09-01 18:07:34
Kolkata,IN,24.97,26.13,100,Thunderstorm,thunderstorm with light rain,2025-09-01 18:07:07+00:00,4.12,22.5697,88.3697,2025-09-01 18:07:34
Hyderabad,IN,24.73,25.56,88,Mist,mist,2025-09-01 18:05:03+00:00,5.14,17.3753,78.4744,2025-09-01 18:07:34
Jaipur,IN,24.62,25.75,100,Mist,mist,2025-09-01 18:06:23+00:00,4.12,26.9167,75.8167,2025-09-01 18:07:34
Pune,IN,23.56,24.48,96,Clouds,overcast clouds,2025-09-01 18:05:03+00:00,2.94,18.5196,73.8553,2025-09-01 18:07:34
Ghaziabad,IN,23.22,24.16,98,Clouds,overcast clouds,2025-09-01 18:07:34+00:00,7.04,28.6667,77.4333,2025-09-01 18:07:34
Mumbai,IN,26.99,30.6,89,Clouds,overcast clouds,2025-09-01 18:42:01+00:00,6.17,19.0144,72.8479,2025-09-01 18:45:23
Delhi,IN,25.05,26.07,94,Mist,mist,2025-09-01 18:44:21+00:00,5.14,28.6667,77.2167,2025-09-01 18:45:23
